OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025EQ,2026-06-12T02:52:41.877696,14.19201286,.00855624,98.6276,205.4688,140.4682,288.9239,0,U,29846,999,430,.10047839E-3,.176E-5,0
FENGYUN 1C DEB,1999-025ER,2026-06-12T06:47:18.696192,14.03129819,.00837052,98.9103,160.3735,252.5392,123.7886,0,U,29847,999,99281,.35016984E-3,.518E-5,0
FENGYUN 1C DEB,1999-025ES,2026-06-12T20:23:48.155424,14.21502711,.0116803,98.2361,23.4007,121.1921,302.7423,0,U,29848,999,99704,.99309E-3,.2291E-4,0
FENGYUN 1C DEB,1999-025ET,2026-06-12T05:22:05.392992,14.05516448,.00793309,99.0033,251.3303,257.0770,157.7876,0,U,29849,999,98919,.77562876E-3,.1251E-4,0
FENGYUN 1C DEB,1999-025EU,2026-06-12T06:13:43.506048,14.00493676,.01057949,98.1192,74.7589,131.6429,351.3358,0,U,29850,999,98560,.77447678E-3,.1171E-4,0
FENGYUN 1C DEB,1999-025EV,2026-06-12T02:30:21.418848,13.83742251,.01432343,99.5563,212.2450,108.8529,307.1439,0,U,29851,999,97875,.21925857E-3,.217E-5,0
FENGYUN 1C DEB,1999-025EW,2026-06-12T07:19:38.636256,14.08253314,.01329667,99.3611,184.8419,8.6757,7.3666,0,U,29852,999,98539,.14141126E-2,.2573E-4,0
FENGYUN 1C DEB,1999-025EX,2026-06-12T05:59:04.003296,13.94381855,.0159861,98.4692,274.7488,78.7039,283.2040,0,U,29853,999,98198,.83941304E-3,.1205E-4,0
FENGYUN 1C DEB,1999-025EY,2026-06-12T05:59:29.054976,13.83498726,.01451159,98.9516,320.4637,281.7555,202.3470,0,U,29854,999,97853,.29623812E-3,.311E-5,0
FENGYUN 1C DEB,1999-025EZ,2026-06-12T01:00:58.055904,14.02898365,.01762466,98.1854,91.4722,250.9918,171.0172,0,U,29855,999,98253,.9302854E-3,.1614E-4,0
FENGYUN 1C DEB,1999-025FA,2026-06-12T21:19:15.777984,14.54540113,.0242899,98.6881,269.1173,104.7022,348.2669,0,U,29856,999,99017,.28417E-2,.17993E-3,0
FENGYUN 1C DEB,1999-025FB,2026-06-11T11:16:59.923200,13.82522747,.0192385,98.4253,155.8190,160.3184,200.5529,0,U,29857,999,97272,.10193E-2,.1236E-4,0
FENGYUN 1C DEB,1999-025FC,2026-06-11T05:52:04.012032,13.78309927,.0194305,99.2142,263.6535,306.1212,107.5137,0,U,29858,999,97040,.95165E-3,.106E-4,0
FENGYUN 1C DEB,1999-025FD,2026-06-12T00:22:23.083680,13.74873322,.02950395,98.3430,340.1295,82.9154,280.5448,0,U,29859,999,96470,.1353672E-2,.1736E-4,0
FENGYUN 1C DEB,1999-025FE,2026-06-12T00:54:20.520000,13.78471149,.021844,98.5986,185.2852,213.9816,202.0583,0,U,29860,999,96636,.18099964E-2,.2149E-4,0
FENGYUN 1C DEB,1999-025FK,2026-06-12T01:58:52.447872,14.85294592,.01090654,98.9244,100.1452,286.6442,90.6629,0,U,29865,999,3448,.46018004E-3,.4324E-4,0
